event,reason,step,position,entry_price,exit_price,realized_pips,cost_pips,net_pips,equity_usd,time_in_trade
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,30,1,68.02300602460221,68.02250602460221,-5.000000000023874,1.0,-6.000000000023874,9939.999999999762,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,31,1,68.19100934485647,68.19050934485647,-5.000000000023874,1.0,-6.000000000023874,9879.999999999523,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,32,1,68.22801853383484,68.22751853383484,-5.000000000023874,1.0,-6.000000000023874,9819.999999999285,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,33,1,68.39601696395367,68.39551696395367,-5.000000000023874,1.0,-6.000000000023874,9759.999999999047,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,34,1,68.78401068626398,68.78351068626398,-5.000000000023874,1.0,-6.000000000023874,9699.999999998809,0
CLOSE,SL_HIT,35,1,68.76101926995881,68.7605192699588,-5.000000000023874,1.0,-6.000000000023874,9639.99999999857,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,36,1,68.51900647263417,68.51850647263417,-5.000000000023874,1.0,-6.000000000023874,9579.999999998332,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,37,1,68.57900041979892,68.57850041979891,-5.000000000023874,1.0,-6.000000000023874,9519.999999998094,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,38,1,68.61501008419965,68.61451008419965,-5.000000000023874,1.0,-6.000000000023874,9459.999999997855,0
CLOSE,SL_HIT,39,1,68.5980106252145,68.5975106252145,-5.000000000023874,1.0,-6.000000000023874,9399.999999997617,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,40,1,68.23600078404561,68.23550078404561,-5.000000000023874,1.0,-6.000000000023874,9339.999999997379,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,41,1,68.03101532332934,68.03051532332934,-5.000000000023874,1.0,-6.000000000023874,9279.99999999714,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,42,1,68.02501703479065,68.02451703479065,-5.000000000023874,1.0,-6.000000000023874,9219.999999996902,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,43,1,67.74200320936916,67.74150320936916,-5.000000000023874,1.0,-6.000000000023874,9159.999999996664,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,44,1,67.43801875397382,67.43751875397382,-5.000000000023874,1.0,-6.000000000023874,9099.999999996426,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,45,1,67.54601769668696,67.54551769668696,-5.000000000023874,1.0,-6.000000000023874,9039.999999996187,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,46,1,67.47001515102748,67.46951515102748,-5.000000000023874,1.0,-6.000000000023874,8979.99999999595,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,47,1,67.43101663906866,67.43051663906866,-5.000000000023874,1.0,-6.000000000023874,8919.99999999571,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,48,1,67.41100279154284,67.41050279154284,-5.000000000023874,1.0,-6.000000000023874,8859.999999995473,0
CLOSE,TP_HIT,49,1,67.47500558133817,67.48700558133817,120.00000000000455,1.0,119.00000000000455,10049.999999995518,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,50,1,67.85701683555594,67.85651683555594,-5.000000000023874,1.0,-6.000000000023874,9989.99999999528,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,51,1,67.85500061827398,67.85450061827397,-5.000000000023874,1.0,-6.000000000023874,9929.999999995041,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,52,1,67.84401457850743,67.84351457850742,-5.000000000023874,1.0,-6.000000000023874,9869.999999994803,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,53,1,67.91701928777753,67.91651928777753,-5.000000000023874,1.0,-6.000000000023874,9809.999999994565,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,54,1,67.8370171918347,67.8365171918347,-5.000000000023874,1.0,-6.000000000023874,9749.999999994327,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,55,1,67.84801518758358,67.84751518758358,-5.000000000023874,1.0,-6.000000000023874,9689.999999994088,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,56,1,67.83701279975298,67.83651279975298,-5.000000000023874,1.0,-6.000000000023874,9629.99999999385,0
CLOSE,TP_HIT,57,1,67.76001473168063,67.77201473168063,120.00000000000455,1.0,119.00000000000455,10819.999999993895,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,58,1,67.97800364246997,67.97750364246997,-5.000000000023874,1.0,-6.000000000023874,10759.999999993657,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,59,1,68.23300126559374,68.23250126559374,-5.000000000023874,1.0,-6.000000000023874,10699.999999993419,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,60,1,67.93501816564016,67.93451816564016,-5.000000000023874,1.0,-6.000000000023874,10639.99999999318,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,61,1,67.95500436636195,67.95450436636195,-5.000000000023874,1.0,-6.000000000023874,10579.999999992942,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,62,1,68.14501934906401,68.14451934906401,-5.000000000023874,1.0,-6.000000000023874,10519.999999992704,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,63,1,68.26001180647415,68.25951180647415,-5.000000000023874,1.0,-6.000000000023874,10459.999999992466,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,64,1,67.88600453279994,67.88550453279994,-5.000000000023874,1.0,-6.000000000023874,10399.999999992227,0
CLOSE,TP_HIT,65,1,67.74301980134615,67.75501980134615,120.00000000000455,1.0,119.00000000000455,11589.999999992273,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,66,1,68.11501303932927,68.11451303932927,-5.000000000023874,1.0,-6.000000000023874,11529.999999992035,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,67,1,68.10000462297752,68.09950462297752,-5.000000000023874,1.0,-6.000000000023874,11469.999999991796,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,68,1,68.32700215088762,68.32650215088762,-5.000000000023874,1.0,-6.000000000023874,11409.999999991558,0
CLOSE,SL_HIT,69,1,68.31201953018187,68.31151953018187,-5.000000000023874,1.0,-6.000000000023874,11349.99999999132,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,70,1,68.14101606094717,68.14051606094716,-5.000000000023874,1.0,-6.000000000023874,11289.999999991081,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,71,1,68.18001927095733,68.17951927095733,-5.000000000023874,1.0,-6.000000000023874,11229.999999990843,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,72,1,68.10301678804416,68.10251678804416,-5.000000000023874,1.0,-6.000000000023874,11169.999999990605,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,73,1,67.86201641938327,67.86151641938326,-5.000000000023874,1.0,-6.000000000023874,11109.999999990367,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,74,1,68.22000781430934,68.21950781430934,-5.000000000023874,1.0,-6.000000000023874,11049.999999990128,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,75,1,68.10000230038833,68.09950230038832,-5.000000000023874,1.0,-6.000000000023874,10989.99999998989,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,76,1,68.07501852400046,68.07451852400045,-5.000000000023874,1.0,-6.000000000023874,10929.999999989652,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,77,1,68.05100011931866,68.05050011931866,-5.000000000023874,1.0,-6.000000000023874,10869.999999989413,0
